date,text,likes,retweets
2025-10-17T05:32:42.000Z,"RT @amXFreeze: Grok Imagine 0.9 update is insane….

You can just literally generate any type video and Grok Imagine makes it

I have create…",0,197
2025-10-17T05:30:41.000Z,True https://t.co/0LApafJ9yc,13297,1066
2025-10-17T05:10:32.000Z,"RT @nikitabier: For many years, Japan has been X's second biggest audience, with over half the country using the app. 

Today we hit a 4 ye…",0,258
2025-10-17T05:10:11.000Z,"RT @amXFreeze: Benioff used Grok to create a viral image with Sam 

He said ChatGPT instantly refused, saying ‘No.’ Grok, on the other hand…",0,197
2025-10-17T05:09:53.000Z,"RT @nvidia: From rockets to AI.

Nine years after the original NVIDIA DGX-1 handoff, Jensen Huang delivered a brand-new DGX Spark to @ElonM…",0,2044
2025-10-17T05:09:19.000Z,@battleangelviv @Tesla ❤️,400,31
2025-10-17T05:05:50.000Z,"RT @EricLDaugh: 🚨 BREAKING: In a bombshell revelation, US Attorney Bill Essayli just exposed that California Democrat officials oversaw MAS…",0,6042
2025-10-16T21:27:20.000Z,@micsolana Yup,977,74
2025-10-16T18:19:49.000Z,@SecRubio Encouraging,2565,129
2025-10-16T18:13:27.000Z,@Lewis_Brackpool Wow,1908,120
2025-10-16T17:10:37.000Z,The people of Britain want change! https://t.co/zKfGB1JFmv,161395,21112
2025-10-16T17:10:17.000Z,@Riley_Gaines_ Absolutely,1914,137
2025-10-16T16:52:19.000Z,@MattWalshBlog Politico is pure propaganda,4329,383
2025-10-16T16:50:00.000Z,RT @WallStreetMav: The UK government is racist against indigenous English people.,0,2898
2025-10-16T16:30:04.000Z,RT @SpaceX: Liftoff! https://t.co/WSjMOsMjK6,0,2327
2025-10-16T16:23:33.000Z,Falcon rocket lands for the 500th time https://t.co/yDkjVUjsOX,106727,12086
2025-10-16T16:09:03.000Z,"RT @TurkeyBeaver: Falcon launch #130 for 2025. The rolling 365 launch total is 166 launches! 

Notable records from this morning:
* Fastest…",0,1026
2025-10-16T16:08:08.000Z,"RT @GBNEWS: An illegal migrant pedophile who sexually assaulted a child was jailed for 1 year.

Three local men protesting his actions were…",0,8051
2025-10-16T16:06:42.000Z,"RT @AdamMoczar: 🚨🇪🇺🇺🇲 JD Vance: ""I think that Europe is at risk of engaging in civilizational suicide.

They are unable or unwilling to con…",0,2474
2025-10-16T09:00:46.000Z,"RT @ApoStructura: Starship vs A380 &amp; 737-8

When stacked with the Super Heavy booster Starship is taller than an A380 and a Max-8 on top of…",0,2577
2025-10-16T08:56:59.000Z,@karpathy 😂💯,1755,88
2025-10-16T07:15:43.000Z,RT @ShanaDiez: I can’t resist reposting these videos. Recovery team delivering epic shots as always. Really gives us some good imagery of t…,0,1331
2025-10-16T07:15:06.000Z,"@nikitabier @BTCBULLRIDER No, the issue is that we are underpaying and not allocating payment accurately enough. 

YouTube does a much better job.",4671,362
2025-10-16T07:01:23.000Z,"RT @SeibtNaomi: 🚨🇺🇸🇩🇪 VISA CANCELED FOR STATE MEDIA JOURNALIST‼️

The U.S. Department of State is revoking the visas of people who celebrat…",0,2452
2025-10-16T06:51:49.000Z,@spacewench1 @DuPageCountyGOP 😂,685,58
2025-10-16T06:47:07.000Z,RT @Mankosmash: @cremieuxrecueil Presidency &amp; House are shifting hard to the Right. All that leaves is the Senate. https://t.co/wTHOhVnNnw,0,1371
2025-10-16T06:44:14.000Z,@WallStreetMav 💯,1734,120
2025-10-16T06:42:08.000Z,@EndWokeness !!,2759,163
2025-10-16T06:41:27.000Z,@SecDuffy @USDOT The wife of a friend of mine was killed by an illegal trucker who wasn’t qualified to drive. Safety standards exist for a reason.,3564,412
2025-10-16T06:38:13.000Z,"To satellites traveling at ~17,000 mph, other moving objects seem stationary https://t.co/4Xk8hLpTBL",84766,11775
2025-10-16T06:34:11.000Z,"RT @growing_daniel: Oakland is a ruin at this point. The Warriors left, the Raiders left, the Athletics left. Nobody bothers to report prop…",0,2166
2025-10-16T06:31:26.000Z,"RT @Prashant_1722: Grok Imagine trick:

Add ""day to night transition"" to your prompt.

In shots like this, you’ll see a beautiful, harmonio…",0,819
2025-10-16T06:30:58.000Z,@LMSpace @SpaceX 🇺🇸,857,57
2025-10-16T06:30:19.000Z,"RT @FoxNews: PRESIDENT TRUMP: ""Chicago recently had one deal where they had 11 murders in one weekend. They said, 'Well, yeah, but it was a…",0,9702
2025-10-16T06:29:40.000Z,@PeterSweden7 !!,3120,169
2025-10-16T06:29:00.000Z,@TeslaBoomerMama @_SFTahoe ❤️,830,62
2025-10-16T06:27:25.000Z,RT @dystopiangf: This is why the left can’t meme. You can’t compress the ever-branching tree of lies into something people instinctively un…,0,1968
2025-10-16T06:25:30.000Z,@growing_daniel Seriously,1024,50
2025-10-16T06:01:28.000Z,Starlink starting to go live on United! https://t.co/hX5YabDSCW,88143,8542
2025-10-16T05:59:57.000Z,RT @Tesla_Optimus: Your kid can now dress up as me https://t.co/EptuR90az8,0,1446
2025-10-16T05:59:41.000Z,@nicksortor Awesome,1743,120
2025-10-16T05:59:06.000Z,"@Grummz Long gone, unfortunately",1894,79
2025-10-16T05:49:14.000Z,😂 https://t.co/BoHqXVlAm7,133254,19439
2025-10-15T18:15:04.000Z,"RT @johnkrausphotos: The V1 and V2 era of Starship has concluded after a largely successful 2.5-year run, defined by iterative development…",0,1929
2025-10-15T18:14:07.000Z,@IterIntellectus 💯,1068,84
2025-10-15T17:44:27.000Z,"RT @cb_doge: Turn your profile picture into a Halloween-style spooky video using this Grok Imagine prompt:

""Add a realistic Halloween effe…",0,1962
2025-10-15T17:44:01.000Z,"RT @SawyerMerritt: NEWS: Starlink plans free Wi-Fi for 5,000 South African schools.

SpaceX says it also plans to collaborate with the Nati…",0,1532
2025-10-15T17:43:30.000Z,RT @kalliekriel: Another incident of the torture of a farmer that farm murder denialists will ignore: Attackers chained a 70-year-old femal…,0,2166
2025-10-15T17:35:32.000Z,"RT @punishablepress: Rhiannon Whyte was stabbed 23 times with a screwdriver after her shift at a hotel.

The asylum seeker left her bleedin…",0,3532
2025-10-15T17:34:21.000Z,Wow https://t.co/zQNnkX4TS3,112917,22616
